Record,custid,SUBSCRIBE,Disc,Title,LastOrder,Pcode,DA_Income,DA_Under20,DA_Over60,DA_Single,NumDeliv,NumMeals,MealsPerDeliv,Healthy,Veggie,Meaty,Special,TotPurch,Weeks3Meals,Sample
24,2238913,N,NA,Mr,12/28/2017,E4H 0Z5,30.2,226,85,42,28,56,2,17,6,13,20,589.7422205,NA,Estimation
25,2765857,Y,Student,Mr,1/6/2018,G6G 1L2,82.4,366,144,26,16,16,1,3,6,5,2,187.6895996,1,Estimation
26,1561137,N,NA,Mrs,2/24/2018,E1J 2Y1,68.9,167,154,11,28,56,2,41,8,2,5,637.8889165,NA,Validation
27,3017936,N,NA,Ms,12/28/2017,R9A 2T9,66.9,170,168,56,16,32,2,24,2,1,5,397.6851504,NA,Estimation
28,2309600,NA,Senior,NA,2/23/2018,K2S 1Z3,40.6,80,219,45,23,46,2,33,1,0,12,463.0405305,NA,Holdout
29,1406463,NA,NA,Mrs,2/23/2018,T4V 0R3,60.4,127,90,26,27,54,2,8,23,1,22,690.559849,NA,Holdout
30,3082479,N,NA,Mr,1/4/2018,R5G 2J,78.4,253,125,39,15,30,2,18,6,1,5,301.4159352,NA,Estimation
31,1296925,N,NA,Mr,12/30/2017,J0X 2W,NA,147,NA,NA,16,32,2,12,10,0,10,395.6056153,NA,Validation
32,2251336,N,NA,NA,12/6/2017,E8A 3R,67.9,165,161,2,18,36,2,11,0,0,25,369.741889,NA,Estimation
33,2292588,N,Senior,NA,11/30/2017,K7G 0Y,77.8,175,295,54,20,40,2,14,7,0,19,526.9594317,NA,Validation
34,1406081,NA,NA,Ms,12/15/2017,G6L 3T,68.9,195,192,33,26,26,1,4,9,13,0,314.7093842,NA,Holdout
35,1122253,NA,NA,Mr,12/7/2017,B2E 1P,42.5,313,132,12,18,54,3,10,0,3,41,693.5908334,NA,Holdout
36,2262556,N,NA,Mrs,2/22/2018,R1A 1W,61.7,287,219,24,18,36,2,0,9,4,23,448.3325662,NA,Estimation
37,2122315,N,NA,Ms,12/18/2017,G5V 1H,62.1,340,141,52,19,38,2,0,6,14,18,490.8202125,NA,Validation
38,1561842,Y,NA,Ms,2/5/2018,J8N 2W,68.8,70,163,34,9,18,2,4,0,4,10,238.6747945,2,Validation
39,2543198,NA,NA,Mrs,1/13/2018,M4W 2R,92,167,145,72,31,93,3,8,16,7,62,984.666083,2,Holdout
40,1714937,Y,Senior,Mr,1/31/2018,J5R 0V,85.3,273,156,37,14,42,3,7,1,31,3,421.3612917,3,Validation
41,1398613,NA,NA,NA,1/15/2018,N3Y 0L3,66.7,178,187,70,14,28,2,3,0,14,11,372.2439731,NA,Holdout
42,3128389,NA,NA,NA,11/23/2017,L7B 0K9,64.9,222,101,48,19,38,2,1,0,4,33,385.7348632,NA,Holdout
43,2557964,NA,NA,NA,1/16/2018,E3E 3C8,83.9,154,269,25,28,56,2,23,3,9,21,768.2421511,NA,Holdout
44,3121958,N,NA,Mrs,11/19/2017,M1B 2Y6,81.1,69,133,7,9,18,2,10,0,5,3,218.3873094,NA,Validation
45,1550797,N,NA,NA,12/12/2017,L7J 1W0,56.2,115,167,29,18,36,2,0,0,3,33,436.0465459,NA,Validation
46,2370414,NA,NA,NA,11/25/2017,B2G 2Z3,55.9,332,281,63,19,38,2,12,0,1,25,476.281013,NA,Holdout
47,1878271,N,NA,NA,11/12/2017,T4X 2L5,77.3,181,145,44,10,20,2,3,4,5,8,279.7073595,NA,Estimation
48,3149157,Y,Student,Mr,2/10/2018,L9S 0V2,85.4,325,123,35,7,14,2,1,2,0,11,145.7634006,2,Estimation
49,2039386,N,NA,NA,12/8/2017,E8P 0P8,67.8,260,274,17,20,40,2,4,11,5,20,405.1595727,NA,Validation
50,2363491,N,NA,Ms,11/26/2017,E7P 3V,87.6,249,110,76,15,30,2,25,1,0,4,345.5908228,NA,Validation
51,1933275,N,NA,Mr,1/15/2018,E4X 3R,NA,313,NA,NA,33,66,2,34,1,0,31,917.4155744,NA,Validation
52,2209558,NA,NA,Ms,2/12/2018,E8P 2J,NA,88,NA,NA,14,28,2,5,8,0,15,287.2898472,NA,Holdout
53,2652116,NA,NA,NA,12/21/2017,T7Z 0L,76.8,157,146,56,19,38,2,22,1,8,7,424.4738602,NA,Holdout
54,2719612,N,NA,Mr,3/1/2018,J5A 1G,47.4,178,140,46,26,52,2,29,3,12,8,553.25477,NA,Validation
55,2106956,N,Senior,NA,1/15/2018,E5P 2J,98.7,135,109,66,36,72,2,0,7,19,46,768.637147,NA,Estimation
56,2504918,N,Senior,Mr,1/3/2018,J8N 0S,109.6,182,96,27,25,50,2,26,11,0,13,571.750337,NA,Estimation
57,3082038,N,NA,Mr,1/29/2018,E5M 0C,62.7,54,186,67,39,78,2,1,7,2,68,874.8516526,NA,Estimation
58,2909707,N,NA,Mr,11/23/2017,J1A 3L,49.1,100,182,64,18,36,2,3,5,27,1,465.0662497,NA,Estimation
59,1212265,N,NA,Mr,1/26/2018,E7B 0V,81.4,242,108,45,17,34,2,14,1,1,18,368.0164781,NA,Validation
60,2147812,Y,NA,Mr,2/10/2018,E5A 0R,67.3,216,95,99,18,36,2,7,8,16,5,400.4197173,2,Estimation
61,1627434,Y,Student,NA,12/10/2017,N4X 2K1,118,291,147,42,19,38,2,22,0,14,2,521.7616918,0,Validation
62,1151366,N,NA,NA,11/26/2017,G0C 3L6,69.2,176,196,33,18,36,2,5,0,0,31,488.3734566,NA,Validation
63,1738030,N,NA,Mr,2/26/2018,J3T 1W6,83.8,173,122,45,24,48,2,32,0,10,6,617.9505269,NA,Validation
64,2070849,NA,NA,Mr,12/23/2017,J5W 0S1,70.6,170,122,10,15,30,2,14,7,2,7,304.8427425,NA,Holdout
65,1208446,NA,Senior,Ms,1/8/2018,G0T 0J4,55.1,132,109,16,12,24,2,7,1,9,7,289.9304084,1,Holdout
66,1867646,Y,NA,Mrs,2/10/2018,A0E 1Y1,73.8,217,188,21,17,17,1,2,1,1,13,216.9018343,3,Validation
67,2776150,N,NA,Mr,2/14/2018,J5A 2L3,33.9,117,212,42,30,30,1,10,12,3,5,382.401234,NA,Validation
68,1372125,NA,NA,Mr,2/23/2018,J0M 3W4,99.3,234,216,19,19,38,2,26,2,5,5,395.7240074,NA,Holdout
69,2476391,N,NA,NA,12/26/2017,V9G 0S7,73.1,187,120,30,15,30,2,2,2,6,20,331.5871435,NA,Estimation
70,2622532,N,NA,NA,12/1/2017,G0R 0K,113.5,254,126,39,21,42,2,8,0,1,33,536.0330537,NA,Validation
71,1364524,N,NA,NA,1/5/2018,J8H 1H,79.5,287,152,62,26,78,3,16,5,16,41,1087.335488,NA,Estimation
72,2994771,N,NA,Mr,2/26/2018,E8B 3A,55.8,170,202,44,27,54,2,28,1,13,12,662.2384669,NA,Validation
73,1705963,N,NA,Mrs,2/19/2018,G0R 1H,82.2,169,173,54,17,51,3,38,1,6,6,643.9373392,NA,Validation
74,2975680,N,NA,Mr,1/14/2018,E5B 1H,51.3,196,127,15,23,46,2,12,8,3,23,543.5911977,NA,Validation
75,3018625,NA,Student,NA,2/21/2018,T1G 3A,44.9,153,180,19,29,87,3,69,7,10,1,1125.334975,NA,Holdout
76,1586504,NA,NA,Mr,12/28/2017,L6A 3A,75.8,312,163,32,18,36,2,5,2,8,21,434.4313591,NA,Holdout
77,1985729,N,NA,Mr,2/11/2018,E6L 2W,61.1,195,173,31,42,25,0.595238095,0,1,2,22,289.1765424,NA,Validation
78,1465833,N,NA,Ms,2/24/2018,H7B 0V,70,260,94,35,27,54,2,19,1,8,26,704.8002351,NA,Validation
79,1187375,NA,NA,NA,1/31/2018,E5J 0E,71.5,226,145,58,20,40,2,17,1,0,22,424.9572614,NA,Holdout
80,3304040,N,NA,NA,2/2/2018,L7J 0W,58.2,299,156,69,18,54,3,10,4,0,40,721.1210539,NA,Validation
81,1641373,N,Student,Ms,11/7/2017,J2N 1S7,58.6,185,111,45,14,42,3,15,0,8,19,502.06815,NA,Validation
82,3169842,N,NA,Mr,11/24/2017,N3Y 3P6,67.3,12,170,39,9,18,2,10,0,4,4,196.1909452,NA,Validation
83,2794238,N,Senior,NA,2/8/2018,S9X 1X3,NA,242,NA,NA,18,36,2,14,0,5,17,451.1200932,NA,Validation
84,2594433,N,NA,Mrs,2/18/2018,T1G 1Z9,39.5,127,116,26,9,9,1,1,0,3,5,91.47938985,NA,Validation
85,1766434,N,NA,NA,12/24/2017,H7X 3H8,81.9,234,158,58,24,24,1,19,0,0,5,264.283975,NA,Validation
86,1889360,N,NA,NA,2/22/2018,J4V 0C8,76.7,131,106,36,19,57,3,3,2,6,46,738.0471996,NA,Estimation
87,3154740,NA,NA,Ms,2/14/2018,T9M 1G6,91.3,193,163,55,26,78,3,3,12,10,53,935.8536089,NA,Holdout
88,1209215,Y,Student,NA,2/1/2018,A1Y 2E4,63.9,161,144,0,37,74,2,46,10,7,11,929.9284957,3,Estimation
89,2197878,N,Senior,NA,1/7/2018,V4V 3E8,77.4,182,195,27,26,52,2,14,13,25,0,567.5014383,NA,Validation
90,2320502,N,Senior,NA,2/20/2018,H8R 2L,75.3,154,118,62,9,9,1,0,0,0,9,117.6055133,NA,Estimation
91,1904560,NA,NA,Mr,1/13/2018,T4X 1T,59.1,131,191,23,29,87,3,16,1,12,58,1023.170271,NA,Holdout
92,3010517,NA,NA,Mrs,2/11/2018,K1E 2Y,94.2,213,131,59,37,74,2,32,12,29,1,792.18893,3,Holdout
93,1306360,NA,NA,Mr,12/6/2017,G4W 0G,93.2,114,147,5,19,38,2,1,5,13,19,403.6217102,NA,Holdout
94,1940899,N,NA,Mr,12/14/2017,L4P 1W,84,180,164,23,24,24,1,10,0,14,0,300.3899788,NA,Estimation
95,2375939,N,NA,Mr,2/23/2018,J5A 0H,101.7,178,221,29,21,63,3,44,7,10,2,647.0120951,NA,Validation
96,1851101,N,NA,Ms,2/18/2018,L9T 2J,81.2,155,131,9,12,24,2,3,0,0,21,266.2312835,NA,Validation
97,2622082,Y,NA,NA,2/18/2018,J4V 2J,44.5,321,183,44,48,96,2,71,14,8,3,1015.871742,6,Estimation
98,1984450,NA,NA,Mr,2/24/2018,H9P 3P,58.5,69,94,28,15,30,2,14,2,14,0,415.0059979,NA,Holdout
99,2636204,N,NA,Mrs,1/31/2018,R4K 0G,45.5,202,110,28,23,69,3,12,2,11,44,822.1615902,NA,Estimation
100,2935091,NA,NA,NA,1/20/2018,T1G 0E,60.5,115,147,34,35,70,2,6,7,3,54,902.8147072,NA,Holdout
101,2858435,NA,Senior,NA,12/13/2017,E8T 3S3,57.6,106,167,63,16,32,2,1,2,8,21,429.338147,NA,Holdout
102,1957763,N,NA,NA,11/28/2017,J6N 0T0,70.8,196,168,80,19,57,3,42,0,9,6,789.6985763,NA,Estimation
103,1376511,NA,NA,Mr,12/15/2017,A2H 0A1,51.8,353,106,34,26,52,2,18,0,14,20,606.4763002,NA,Holdout
104,1861409,N,NA,Mr,2/16/2018,G3Z 3W6,73.2,299,134,38,28,56,2,11,8,3,34,682.2278354,NA,Estimation
105,1674084,NA,NA,Ms,1/15/2018,H7M 3P8,56.9,212,159,34,21,21,1,3,6,12,0,241.4970922,NA,Holdout
106,2894582,N,NA,Ms,12/6/2017,E6J 1G9,105.3,154,104,53,15,30,2,17,2,9,2,411.7785233,NA,Estimation
107,3120716,N,NA,Dr,1/9/2018,P8N 0L7,84.3,342,177,59,16,32,2,19,4,6,3,399.501644,NA,Validation
108,2283709,N,Senior,Mr,2/6/2018,N7G 3K3,88.2,183,155,112,28,56,2,0,5,6,45,622.2298442,NA,Estimation
109,2046991,N,NA,Mrs,1/30/2018,J8A 0T8,77.7,137,164,24,23,46,2,0,5,0,41,571.6889515,NA,Estimation
110,2631217,N,NA,Mr,11/27/2017,K7G 1Y,103.6,104,171,10,15,30,2,0,1,8,21,359.4304183,NA,Validation
111,2015683,N,NA,Mrs,12/9/2017,G5H 3S,NA,159,NA,NA,17,51,3,48,0,3,0,511.0037433,NA,Estimation
112,2271116,N,NA,Ms,1/23/2018,G5B 1H,60.8,316,179,27,31,62,2,41,0,21,0,812.0688643,NA,Estimation
113,1950684,N,NA,NA,2/2/2018,E7L 3L,98.6,276,171,68,29,58,2,5,14,0,39,696.2107328,NA,Validation
114,2253315,NA,NA,Mr,1/3/2018,B2T 2W,57,239,229,51,13,39,3,0,4,14,21,500.1673768,NA,Holdout
115,3222974,N,NA,Mrs,2/28/2018,J2W 0H,65.9,85,65,44,10,20,2,2,2,0,16,257.9936301,NA,Estimation
116,1744045,NA,NA,Ms,12/14/2017,G5T 2B,62.1,180,186,26,13,26,2,2,0,5,19,333.3482514,NA,Holdout
117,2941100,Y,Student,NA,1/6/2018,E7B 3X,63.6,276,73,67,31,93,3,2,24,19,48,1099.988803,2,Validation
118,1899314,N,Student,Mrs,1/14/2018,V0L 3S,64.4,178,101,15,31,62,2,45,2,15,0,805.3946189,NA,Estimation
119,1991754,N,NA,Mr,2/10/2018,B1B 1J,79.9,152,130,29,21,21,1,9,0,4,8,280.244377,NA,Estimation
120,1367227,NA,Senior,Mrs,12/14/2017,H0H 2B,66.5,203,130,91,12,36,3,10,8,4,14,434.0532435,NA,Holdout
121,3202811,N,NA,NA,12/3/2017,B0V 2H9,59.9,150,129,25,9,18,2,1,9,2,6,238.7905313,NA,Estimation
122,2068442,N,NA,NA,1/31/2018,J6R 3P0,96.9,175,105,23,24,48,2,1,9,2,36,629.2038036,NA,Validation
123,1389680,NA,Student,NA,2/11/2018,L9N 0L2,65.7,367,99,35,32,96,3,54,1,8,33,1205.604189,NA,Holdout
124,2349029,N,Senior,Mr,2/16/2018,B1K 1E1,66.4,238,155,41,22,66,3,21,8,8,29,890.6795477,NA,Estimation
125,1430516,Y,NA,NA,3/1/2018,L3V 1R5,68,287,91,23,7,14,2,3,0,4,7,158.924028,6,Validation
126,1808510,N,NA,NA,12/21/2017,G0S 1C4,84.3,203,169,21,19,38,2,12,2,16,8,460.9965223,NA,Estimation
127,1432541,Y,NA,Mrs,2/20/2018,T1L 2L5,68.5,168,138,23,43,25,0.581395349,16,0,0,9,258.008714,3,Validation
128,3069510,N,Senior,NA,12/20/2017,T1P 0G1,69.2,246,174,86,17,34,2,27,0,0,7,369.1491971,NA,Estimation
129,3063578,N,NA,Ms,2/6/2018,V1R 2A4,56.4,96,148,33,15,30,2,21,0,9,0,411.7351099,NA,Estimation
130,2748516,NA,NA,Ms,1/26/2018,B1K 2R,63.5,302,87,74,34,68,2,13,17,1,37,849.5323851,NA,Holdout
131,2591443,NA,NA,Ms,3/1/2018,J0M 0C,71.2,184,129,85,21,42,2,1,6,0,35,442.5210957,NA,Holdout
132,1568601,N,NA,NA,12/25/2017,J0E 1H,58.2,11,173,52,21,42,2,0,29,13,0,559.8916446,NA,Estimation
133,1144863,N,Student,Mrs,1/10/2018,H7X 3L,NA,139,NA,NA,23,46,2,33,8,0,5,616.4287491,NA,Estimation
134,2214699,N,Student,NA,2/25/2018,M8V 2J,39.6,171,200,44,35,70,2,6,5,7,52,704.7457741,NA,Estimation
135,2088984,NA,NA,NA,12/11/2017,E5M 3X,76.1,339,182,42,20,40,2,6,2,6,26,483.3037874,NA,Holdout
136,2570330,N,NA,NA,12/9/2017,E4T 0H,39.3,194,111,56,19,38,2,7,1,5,25,399.7582034,NA,Validation
137,1986714,Y,Senior,Mrs,2/1/2018,H3J 1L,64,96,129,39,34,68,2,47,9,12,0,790.8594621,1,Validation
138,2178446,N,NA,Ms,11/26/2017,G6G 0C,59.4,179,216,51,13,13,1,4,0,3,6,156.6084294,NA,Validation
139,3045584,N,NA,NA,1/17/2018,E2A 1T,57,136,164,14,24,24,1,0,1,8,15,334.7331476,NA,Validation
140,3073896,N,Student,Mr,2/14/2018,E5T 3G,68.9,89,157,5,37,74,2,49,5,19,1,745.0780777,NA,Validation
141,1932786,N,NA,Mrs,11/15/2017,K9V 2C1,31.7,153,227,43,16,32,2,19,0,6,7,442.663646,NA,Validation
142,2096320,NA,Senior,NA,12/31/2017,B1G 3Z9,93.5,70,171,60,12,12,1,10,0,1,1,158.6114639,NA,Holdout
143,1487530,N,Senior,NA,12/8/2017,T4L 0G4,36.7,387,122,52,16,32,2,6,0,0,26,434.2038291,NA,Estimation
144,3238285,NA,NA,Ms,12/5/2017,E4H 0Z5,60.7,219,232,25,20,40,2,0,1,0,39,533.2112011,NA,Holdout
145,2194176,Y,NA,NA,2/22/2018,G6G 1L2,47.7,243,303,4,40,40,1,16,5,8,11,447.4692933,2,Estimation
146,3000227,N,NA,Ms,1/24/2018,E1J 2Y1,55,119,149,9,32,64,2,4,0,3,57,836.420541,NA,Estimation
147,1205389,NA,NA,Mr,12/28/2017,R9A 2T9,111.7,290,209,2,11,22,2,7,6,2,7,293.4035453,NA,Holdout
148,2329563,NA,NA,Mr,11/28/2017,K2S 1Z3,70.3,236,113,70,13,26,2,18,0,8,0,332.0173577,NA,Holdout
149,2096292,N,NA,NA,12/3/2017,T4V 0R3,44.3,134,95,50,17,34,2,20,6,4,4,340.2258709,NA,Estimation
150,1673126,N,NA,Ms,1/31/2018,R5G 2J,37.2,192,139,36,21,42,2,9,10,11,12,549.1051865,NA,Estimation
151,2696620,N,Senior,Ms,2/9/2018,J0X 2W,79,172,94,15,14,14,1,8,0,1,5,192.42504,NA,Validation
152,2017007,NA,NA,NA,2/14/2018,E8A 3R,69.6,290,268,31,38,76,2,6,3,64,3,803.4932819,0,Holdout
153,2152518,N,NA,NA,2/3/2018,K7G 0Y,63.6,188,177,41,21,42,2,7,2,1,32,567.2774004,NA,Validation
154,2475619,N,NA,NA,11/11/2017,G6L 3T,51.4,275,113,19,11,22,2,3,1,0,18,224.768841,NA,Estimation
155,2042380,NA,Senior,NA,2/8/2018,B2E 1P,40.3,251,276,60,41,25,0.609756098,8,0,9,8,320.4017814,2,Holdout
156,1972275,N,NA,NA,1/22/2018,R1A 1W,48.5,179,131,23,13,26,2,0,7,6,13,268.0903018,NA,Validation
157,3153593,NA,NA,NA,1/24/2018,G5V 1H,90,196,150,26,9,9,1,2,1,4,2,103.3263863,NA,Holdout
158,3172898,N,NA,NA,12/16/2017,J8N 2W,57.6,139,141,60,25,75,3,11,23,13,28,845.2663283,NA,Validation
159,2711854,NA,NA,Ms,2/4/2018,M4W 2R,42.3,165,149,33,24,48,2,19,6,21,2,639.707862,NA,Holdout
160,3191540,Y,NA,NA,2/24/2018,J5R 0V,107.4,102,171,11,50,100,2,58,3,37,2,1012.379261,0,Estimation
161,2008951,N,NA,Mrs,1/30/2018,N3Y 0L3,78.5,170,106,46,15,30,2,16,0,13,1,312.2773237,NA,Validation
162,1297412,N,NA,Mr,1/24/2018,L7B 0K9,65.2,174,164,26,19,38,2,23,0,8,7,474.1847113,NA,Validation
163,3091071,N,NA,Mr,12/8/2017,E3E 3C8,91.2,184,101,34,23,23,1,0,2,1,20,279.5653336,NA,Validation
164,1734847,N,NA,Mr,12/25/2017,M1B 2Y6,87.7,374,127,18,17,34,2,4,12,18,0,400.6945631,NA,Validation
165,1911685,N,Student,Mrs,2/7/2018,L7J 1W0,57.6,210,145,43,27,54,2,40,0,1,13,738.6640047,NA,Validation
166,1361481,N,NA,NA,2/21/2018,B2G 2Z3,114.1,96,90,4,35,105,3,40,1,9,55,1359.043019,NA,Estimation
167,2045725,N,NA,Mrs,2/19/2018,T4X 2L5,64.9,265,148,2,20,40,2,36,2,1,1,545.6021358,NA,Estimation
168,2314197,N,NA,Dr,1/17/2018,L9S 0V2,41.5,179,195,67,32,96,3,38,10,38,10,1039.498242,NA,Estimation
169,2879346,NA,NA,Mrs,1/2/2018,E8P 0P8,NA,298,NA,NA,19,19,1,0,0,0,19,219.4595253,NA,Holdout
170,2579392,NA,Senior,Mr,2/21/2018,E7P 3V,74.2,203,119,37,14,14,1,7,0,0,7,182.9982834,NA,Holdout
171,2463328,NA,NA,Mr,11/22/2017,E4X 3R,116.2,312,183,45,10,30,3,3,0,8,19,314.5795324,NA,Holdout
172,1111150,NA,NA,Mrs,1/10/2018,E8P 2J,72.1,198,130,33,28,56,2,2,1,25,28,682.7779312,NA,Holdout
173,1185496,NA,NA,Mrs,12/21/2017,T7Z 0L,79.1,162,230,69,13,13,1,1,0,0,12,140.21401,NA,Holdout
174,1790108,N,NA,Mrs,1/11/2018,J5A 1G,68.5,338,152,38,29,58,2,21,18,0,19,641.6275476,NA,Validation
175,2536557,N,NA,Dr,12/8/2017,E5P 2J,63.3,104,141,35,14,28,2,1,1,13,13,384.1859855,NA,Estimation
176,1844194,NA,NA,Mr,11/28/2017,J8N 0S,69.3,229,201,62,21,63,3,51,9,2,1,807.7474711,NA,Holdout
177,2920176,N,NA,NA,12/8/2017,E5M 0C,85.8,131,163,61,20,60,3,13,45,0,2,620.8587816,NA,Validation
178,3057821,NA,NA,NA,1/10/2018,J1A 3L,111.5,283,124,38,10,10,1,1,0,2,7,131.4466174,NA,Holdout
179,1862806,Y,NA,Mr,2/24/2018,E7B 0V,90.5,230,219,53,40,80,2,18,5,57,0,849.1094609,2,Validation
180,1817653,N,NA,NA,12/1/2017,E5A 0R,94.2,169,105,36,22,66,3,0,8,13,45,737.8218647,NA,Estimation
181,1949001,N,NA,NA,11/12/2017,N4X 2K1,45.4,173,113,47,13,26,2,4,3,8,11,322.586767,NA,Estimation
182,2738686,NA,NA,NA,11/1/2017,G0C 3L6,89.7,262,128,26,9,18,2,2,2,3,11,208.3145508,NA,Holdout
183,2264960,N,NA,Mr,2/19/2018,J3T 1W6,74.4,125,158,45,12,24,2,17,4,2,1,248.3342864,NA,Estimation
184,2447663,N,Senior,Mr,2/3/2018,J5W 0S1,40.7,145,145,27,18,36,2,4,0,6,26,367.7555966,NA,Validation
185,3115552,N,NA,Mr,12/28/2017,G0T 0J4,80.4,228,164,36,15,45,3,21,6,1,17,596.4001734,NA,Validation
186,2594084,NA,NA,Mrs,1/16/2018,A0E 1Y1,66.8,252,182,30,33,66,2,4,12,11,39,878.3812609,NA,Holdout
187,2400863,N,NA,Ms,1/26/2018,J5A 2L3,99.3,79,135,85,32,32,1,11,2,7,12,411.909422,NA,Estimation
188,1397865,Y,NA,Mrs,1/7/2018,J0M 3W4,54.7,213,277,42,24,48,2,30,14,4,0,522.0407394,1,Validation
189,1756500,N,NA,Mrs,1/17/2018,V9G 0S7,61.4,118,76,32,21,63,3,12,9,14,28,807.4985624,NA,Estimation
190,2587495,NA,NA,NA,12/19/2017,G0R 0K,51.5,155,102,64,25,25,1,0,3,8,14,335.8550151,NA,Holdout
191,2587949,NA,NA,NA,1/7/2018,J8H 1H,66.5,291,186,38,11,22,2,2,2,3,15,243.868363,NA,Holdout
192,3269578,NA,NA,NA,2/13/2018,E8B 3A,78,270,155,44,19,38,2,0,4,1,33,433.4409229,2,Holdout
193,1783414,NA,NA,NA,2/6/2018,G0R 1H,55.4,186,159,26,28,56,2,23,9,22,2,688.7184014,NA,Holdout
194,2286679,NA,NA,Mr,1/22/2018,E5B 1H,86.6,134,171,40,34,68,2,26,7,14,21,805.4762307,NA,Holdout
195,2867684,N,NA,Ms,12/23/2017,T1G 3A,45.8,221,127,86,19,57,3,42,2,8,5,611.4999672,NA,Validation
196,2543629,NA,NA,Mr,11/21/2017,L6A 3A,49,310,123,41,8,16,2,5,0,1,10,211.0090571,NA,Holdout
197,3203520,NA,Senior,Mr,11/4/2017,E6L 2W,98.8,263,149,11,12,24,2,2,13,6,3,297.1309438,NA,Holdout
198,3094665,N,Senior,NA,12/14/2017,H7B 0V,49.7,228,131,84,7,21,3,0,6,8,7,253.0936638,NA,Validation
199,2704767,N,NA,Ms,2/18/2018,E5J 0E,78.2,205,167,86,15,45,3,7,3,14,21,536.1043028,NA,Estimation
200,3090259,N,NA,Mrs,2/6/2018,L7J 0W,62.4,274,99,30,28,84,3,34,9,8,33,856.1389459,NA,Estimation
201,3270390,N,NA,NA,12/30/2017,J2N 1S7,78.2,264,95,15,23,46,2,41,0,5,0,555.4900023,NA,Estimation
202,2376258,Y,Student,Mr,1/21/2018,N3Y 3P6,103.8,256,202,42,13,26,2,6,7,7,6,322.6312296,3,Estimation
203,1209808,NA,NA,Mrs,2/16/2018,S9X 1X3,101.7,150,76,29,28,56,2,0,13,8,35,641.6647248,NA,Holdout
204,2997846,NA,Student,Ms,1/24/2018,T1G 1Z9,63.4,11,90,46,25,50,2,5,3,1,41,610.3230606,NA,Holdout
